Project,Zone,Charge Code,PM,Content,Zone Helper
Shipment Module Redesign ,Customer Portal,2025-CP001,Evelyn,,Customer Portal
Booking Redesign,Customer Portal,2025-CP002,Evelyn,Template & Column Layout Adjustment,ERP
Asia CW SHA NBO vs Portal Integration,Customer Portal,2025-CP003,Jeff,,OA
Maintenance,Customer Portal,CPM001,Anya,細部By Module,Admin
Dashboard Announcement card enhancement,Customer Portal,2025-CR001,Jeff,可以獨立拆出來的，如果不能獨立他就是CP,
Dashboard Customized layout,Customer Portal,2025-CR002,Jeff,,
Asia CW Project,ERP,ERPP001,Mabel,,
Maintenance,ERP,ERPM001,Barry,,
OA,OA,OA001,Eddie,,
Leave,Admin,O001,Goufang,,
Admin,Admin,O002,Goufang,,